Date,RON 95-III,RON 95-III Price difference,E5 RON 92-II,E5 RON 92-II Price difference,"DO 0,05S-II","DO 0,05S-II Price difference",KO,KO Price difference,FO 3%S,FO 3%S Price difference,"FO 3,5%S","FO 3,5%S Price difference",RON 95-IV,RON 95-IV Price difference,"DO 0,005S-IV","DO 0,005S-IV Price difference"
2018-08-22 00:00,21170,,19610,,17680,,16260,,,,,,21370,,17730,
2018-09-06 00:00,21470,300,19910,300,18060,380,16550,290,,0,,0,21670,300,18110,380
2018-09-21 00:00,21770,300,20230,320,18120,60,16680,130,,0,,0,21970,300,18170,60
2018-10-06 00:00,22340,570,20900,670,18610,490,17080,400,,0,,0,22540,570,18660,490
2018-10-22 00:00,22200,-140,20680,-220,18610,0,17080,0,,0,,0,22400,-140,18660,0
2018-11-06 00:00,21060,-1140,19600,-1080,18540,-70,17080,0,,0,,0,21260,-1140,18590,-70
2018-11-21 00:00,19970,-1090,18620,-980,17630,-910,16240,-840,,0,,0,20170,-1090,17680,-910
2018-12-06 00:00,18450,-1520,17180,-1440,16250,-1380,15250,-990,,0,,0,18650,-1520,16300,-1380
2018-12-21 00:00,18140,-310,16780,-400,16000,-250,15000,-250,,0,,0,18340,-310,16050,-250
2019-01-01 00:00,17600,-540,16270,-510,14900,-1100,14180,-820,,0,,0,17800,-540,14950,-1100
2019-01-16 00:00,17600,0,16270,0,14900,0,14180,0,,0,,0,,,,
2019-01-31 00:00,17600,0,16270,0,14900,0,14180,0,,0,,0,,,,
2019-02-15 00:00,17600,0,16270,0,14900,0,14180,0,,0,,0,,,,
2019-03-02 00:00,18540,940,17210,940,15860,960,14880,700,,0,,0,,,,
2019-03-18 00:00,18540,0,17210,0,15860,0,14880,0,,0,,0,,,,
2019-04-02 17:00,20030,1490,18580,1370,17080,1220,15970,1090,,0,,0,,,,
2019-04-17 15:00,21230,1200,19700,1120,17380,300,16260,290,,0,,0,,,,
2019-05-02 16:00,22190,960,20680,980,17690,310,16620,360,,0,,0,,,,
2019-05-17 15:00,21590,-600,20480,-200,17610,-80,16420,-200,,0,,0,,,,
2019-06-01 15:00,21210,-380,20210,-270,17390,-220,16220,-200,,0,,0,,,,
2019-06-17 15:00,20130,-1080,19230,-980,16650,-740,15610,-610,,0,,0,,,,
2019-07-02 16:30,20510,380,19650,420,16940,290,15930,320,,0,,0,,,,
2019-07-17 17:00,21230,720,20270,620,16990,50,15950,20,,0,,0,,,,
2019-08-01 15:00,20910,-320,19900,-370,17020,30,15960,10,,0,,0,,,,
2019-08-16 15:00,20400,-510,19350,-550,16500,-520,15390,-570,,0,,0,,,,
2019-08-31 15:00,20230,-170,19220,-130,16330,-170,15320,-70,,0,,0,,,,
2019-09-16 15:00,20140,-90,19110,-110,16200,-130,15360,40,,0,,0,,,,
