Brand, Total Vehicle Sales, EV Sales, Brand % EV Sales, US % EV Sales, % Total US Vehicle Sales
Ford, 2386588,9216,0.39%,2.51%,13.70%
Toyota, 2224156, 27595,	1.24%, 7.52%, 12.77%
Chevrolet, 2017205, 36325, 1.80%, 9.89%, 11.58%
Honda, 1445627,	19550, 1.35%, 5.32%, 8.30%
Nissan, 1344597, 14715,	1.09%, 4.01%, 7.72%
Jeep, 973227, 0, 0.00%, 0.00%, 5.59%
Subaru, 680135, 0, 0.00%, 0.00%, 3.90%
Hyundai, 679127, 2395,	0.35%,	0.65%,	3.90%
Ram,	597368,	0,	0.00%,	0.00%,	3.43%
Kia,	589673	,5488	,0.93%,	1.49%,	3.39%
GMC,	556451,	0,	0.00%,	0.00%,	3.19%
Dodge,	459324	,0	,0.00%	,0.00%,	2.64%
Volkswagen,	354053,	1354,	0.38%,	0.37%,	2.03%
Mercedes-Benz,	349084,	3485,	1.00%,	0.95%,	2.00%
BMW,	311014,	22926,	7.37%,	6.24%,	1.79%
Mazda,	300325,	0,	0.00%,	0.00%,	1.72%
Lexus,	298302,	0,	0.00%,	0.00%,	1.71%
Audi,	223068,	2597,	1.16%,	0.71%,	1.28%
Buick,	207223,	0,	0.00%,	0.00%,	1.19%
Tesla,	197517,	197517,	100.00%,	53.79%,	1.13%
Chrysler,	165964,	7062,	4.26%,	1.92%,	0.95%
Acura,	158934,	0,	0.00%,	0.00%,	0.91%
Cadillac,	153863,	231,	0.15%,	0.06%,	0.88%
Infiniti,	149280,	0,	0.00%,	0.00%,	0.86%
Mitsubishi,	118074	,4166,	3.53%,	1.13%,	0.68%
Lincoln,	103587,	0,	0.00%,	0.00%,	0.59%
Volvo,	98786,	4091,	4.14%,	1.11%,	0.57%
Land Rover,	92143,	0,	0.00%,	0.00%,	0.53%
Porsche,	59116,	3058,	5.17%,	0.83%,	0.34%
Mini,	43684,	1564,	3.58%,	0.43%,	0.25%
Jaguar,	30254,	393,	1.30%,	0.11%,	0.17%
Alfa Romeo,	23800,	0,	0.00%,	0.00%,	0.14%
Fiat,	15521,	2250,	14.50%,	0.61%,	0.09%
Genesis,	9940,	0,	0.00%,	0.00%,	0.06%
Smart,	1276,	1219,	95.53%,	0.33%,	0.01%
